MemberCommentId,PreProcessedBody
BA1D6D3A-9436-6100-6B96-007C451B18F0,نظر اصلا قیمتش نمی‌ارزد مخصوصا غذای ایرانی حجم کمش کیفیتش متوسط بود
B4E0BE00-E4F6-47F0-A321-008E018578D9,کافه تهرون یکی جاهایی زمان اجازه بده ترجیح میدم برم اونجا فضا غذاش بهره مند بشم خوردنی‌هاش خیلی خوبه مخصوصا ناهار روزش تنها ایرادش شلوغی توی اخر هفته نهایتا دو ساعت میشه میز بهره مند شد بعدش رفت رفتار پرسنل محترمانه است صبر حوصله ان
587ACAF6-19A9-41EC-806E-0F4C11DCFC00,رستوران دیژون اونجایی همیشه اسپاگتی سفارش می‌دهم سر پا نمی‌شناسم بیاورند اینطوری نبود خشایار فیدیلیو گفته همان جا اعتراض کنید اعتراض کردم مخلفات زیر اسپاگتی گوشت اندازه اب انداخته بود درست هست ظاهر عکس نشان نمی‌دهد سالن دار صحنه دید شد نظر رستوران‌‌ها حرفه‌ای غذای متفارت مجبور نیستند قلم غذا داشته باشند کم باشد کیفیت باشد
48E7F1A6-B316-4835-86C5-00941366CBE3,سزار سوخاری پیتزا فیلت امتحان کردم سزار دوست نداشتم مرغ سوخاری تازه نبود سفت بود سسش هیچ مزه‌ای نداشت قیمتش خیلی زیاد بود نسبت کیفیت پیتزا خیلی معمولی قیمت بسیار زیادش اصلا نمی‌ارزید پرسنل بسیار بسیار معمولی خشک بودن مکان‌هایی خوشم می‌آید پرسنلش خیلی دوستانه صمیمی باشند تجربه خاصی نبود مقایسه سطح قیمت نظرم می‌شود انتخاب‌‌های بهتری داشت
D174CCA9-CA2C-45C9-B36C-05FF7FC83F52,سلام دوستان می‌توانید راجب قیمت صبحانه اردک ابی حدودا هی چقدر هزینه‌‌هایش می‌شود حق سرویس توضیح بدهید ممنون می‌شوم
9AE558B0-3BE2-65DD-A5CF-0F63B7F5584F,رستوران پول خرج می‌کنم قیمت غذا‌‌ها احساس کنید غذای ویژه‌ای خورده‌اید گران بود فروردین شد هزار تومان
932A939A-0AFA-4DD1-8466-06065A3D1C3F,عکس‌ها کلا گویای همه هستند کیفتشونو سال خورده‌ای امتحان کردیم حفظ کرده دیزاین جدیدشان دوست دارم فضا دلبازتر روشن‌تر شده قیمت‌هایش هستم دفعه میریم بالا‌تر رفته هنوزم استخوان مسین هست برود جوپان قابلمه بیرون هست باحال هست خاویار سرو نمی‌کنند گردن بهارنارنجم خوش عطر طعمه حاج هست فسنجان یادم نمی‌آید قبلا خیلی خیلی معمولی بود
856DC1A2-DFE0-448D-8C7E-00AA49FDD74D,اندازه برگر‌ها خوب بود کیفیت گوشت خوب بود سس مخصوصی نداشتن همین سس کوچیک‌‌های معمولی استفاده می‌کردند
55795372-D83E-488A-BA86-0624BF4E7D00,ساعت دقیقه رسیدیم دم هست درب ورودی رستوران نوشتیم نوبتمان شه گفتند نوبت است دقیقه طول می‌کشد خانواده بنده روزه بودند گفتند باشد صبر می‌کنیم ساعت شد نوبت نشده بود مدیر رستوران هرکس دوست داشت پارتی بازی میداد هیچ مدیریتی ورود نبود گفتیم روزه‌‌هایم حداقل لیوان چای سفارش بدهیم نوبتمان شه بی‌ادبی گفتند وقت افطار تمام‌شده ساعت نوبتمان شد قرار بود بالکن میز بدهند سالن داخل دادند رفتیم سالن داخلی دیدم همه میز‌ها خالی‌‌ها هستند الکی مردم ساعت نگه داشتند بیرون بعد کلی حرف چایی یخ آورد هستند سفارش غذا دادیم شیشلیک فیل هست ماست زیتون سالاد سبز سوپ سوپ فوق‌العاده بی‌مزه سرد نون آورد هستند سرد بود گارسون خانم گفتیم سرد هست برود یکی آورد گفت عوض کردم درصورتی همان نون قبلی آوردند دوباره چون تیکه نون قبلی گوشش کنده بودیم همان دوباره آورد هستند شیشلیک شور اصلاً قابل مقایسه شاندیز جردن نبود بو میداد البته لیک نبود لیک بود تکه سالادم نگویم برگ ترب توت‌فرنگی نشسته کاهو تلخ قدر بد بود اصلا نخوردیم غذا خوردیم صورتحساب حساب کردیم دیدم ماست اضافی حساب کردند چقدر گفتیم ماست داشتیم قبول نکردند رفتیم سر میز ظرف ماست هار نشان دادیم بود پول برنگرداند هستند اصلا پیشنهاد نمی‌شود فقط درکرده الکی یکی پولدار نکنید پول خودتان می‌توانید بهترین غذارو بپزید برید شاندیز جردن فاکتور غذا عکس‌های زیر ضمیمه‌شده
8A93D2FB-9514-4863-ADDC-062AAB9A4B51,کیفیت غذای قابل قبولی دارد قیمت‌ها مقایسه ان بالاست پول زیادی بابت اصطلاحا کلاس رستوران پرداخت میکنید رستوران فضایی بزرگ دارد موسیقی استفاده شده هنگامی رفتیم بیشتر درد ورزش‌های هوازی میخورد غذا خوردن
